# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 612
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 13:27:08 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 s260401458
START Player-1 random
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (12,0) (11,1)
2 (2,14) (3,13)
3 (15,13) (15,11)
3 (15,11) (15,13)
3 (15,13) (15,11)
3 null null
0 (1,2) (3,4)
0 null null
1 (13,1) (12,0)
2 (1,12) (2,11)
3 (14,15) (12,13)
3 null null
0 (2,0) (4,2)
0 null null
1 (13,2) (15,4)
1 null null
2 (2,15) (2,14)
3 (13,14) (11,14)
3 (11,14) (13,12)
3 (13,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (11,1) (11,0)
2 (2,13) (3,12)
3 (15,14) (15,13)
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (14,2) (13,3)
2 (3,13) (2,12)
3 (14,14) (12,12)
3 (12,12) (14,14)
3 (14,14) (12,12)
3 (12,12) (14,14)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (15,0) (13,2)
1 null null
2 (2,12) (2,13)
3 (15,11) (15,10)
0 (3,1) (5,3)
0 null null
1 (13,3) (12,4)
2 (2,13) (4,11)
2 null null
3 (14,14) (13,14)
0 (4,2) (6,4)
0 null null
1 (15,2) (15,0)
1 (15,0) (15,2)
1 (15,2) (15,0)
1 null null
2 (3,12) (5,10)
2 (5,10) (3,12)
2 (3,12) (1,10)
2 (1,10) (3,12)
2 (3,12) (5,10)
2 null null
3 (14,13) (14,11)
3 null null
0 (5,3) (7,5)
0 null null
1 (14,1) (13,1)
2 (4,11) (4,12)
3 (13,13) (13,12)
0 (6,4) (8,6)
0 null null
1 (13,2) (13,3)
2 (3,14) (3,13)
3 (13,12) (13,13)
0 (7,5) (9,7)
0 null null
1 (12,4) (14,2)
1 (14,2) (12,4)
1 (12,4) (14,2)
1 null null
2 (0,12) (0,11)
3 (15,13) (13,11)
3 (13,11) (15,13)
3 (15,13) (15,11)
3 (15,11) (15,13)
3 null null
0 (8,6) (10,8)
0 null null
1 (14,3) (14,4)
2 (2,11) (1,12)
3 (12,13) (14,13)
3 (14,13) (12,13)
3 null null
0 (3,5) (5,7)
0 null null
1 (14,2) (13,2)
2 (1,13) (0,12)
3 (15,15) (15,14)
0 (4,6) (6,8)
0 null null
1 (15,3) (15,2)
2 (2,14) (1,13)
3 (13,14) (14,15)
