# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 704
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 17:05:38 PDT 2014
# Player 1: Player-0, 'random', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (1,3) (0,4)
1 (14,3) (14,4)
2 (2,14) (3,13)
3 (14,12) (15,11)
0 (3,1) (1,3)
0 null null
1 (14,0) (12,2)
1 null null
2 (0,12) (2,14)
2 (2,14) (0,12)
2 null null
3 (13,13) (12,13)
0 (1,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (3,3)
0 null null
1 (14,2) (13,3)
2 (3,15) (2,14)
3 (15,12) (14,12)
0 (1,2) (1,4)
0 null null
1 (13,2) (14,3)
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (4,13)
2 null null
3 (15,11) (15,10)
0 (0,4) (1,5)
1 (12,2) (13,2)
2 (1,12) (2,13)
3 (12,14) (11,13)
0 (1,5) (0,5)
1 (15,3) (13,5)
1 (13,5) (15,3)
1 null null
2 (3,14) (3,15)
3 (14,13) (15,12)
0 (0,3) (0,4)
1 (13,2) (11,0)
1 (11,0) (13,2)
1 null null
2 (3,15) (3,14)
3 (15,15) (13,13)
3 (13,13) (15,11)
3 (15,11) (15,9)
3 (15,9) (15,11)
3 null null
0 (1,4) (0,3)
1 (13,0) (14,0)
2 (3,14) (4,14)
3 (15,10) (14,10)
0 (3,3) (3,4)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 null null
2 (3,13) (3,12)
3 (14,12) (13,12)
0 (0,3) (1,4)
1 (13,3) (14,2)
2 (4,13) (5,12)
3 (13,12) (14,11)
0 (1,3) (2,4)
1 (13,2) (11,0)
1 (11,0) (13,2)
1 (13,2) (13,0)
1 (13,0) (11,0)
1 null null
2 (1,14) (3,14)
2 (3,14) (5,14)
2 null null
3 (12,15) (12,14)
0 (2,4) (2,3)
1 (14,1) (13,2)
2 (2,13) (1,12)
3 (14,11) (13,12)
0 (3,4) (2,5)
1 (14,2) (13,3)
2 (2,15) (1,14)
3 (14,14) (15,15)
0 (0,0) (1,1)
1 (15,1) (14,1)
2 (1,14) (2,15)
3 (13,12) (14,13)
0 (2,2) (0,0)
0 null null
1 (14,3) (14,2)
2 (3,12) (2,13)
3 (14,13) (14,12)
0 (2,3) (3,4)
1 (14,4) (15,5)
2 (5,12) (6,12)
3 (12,13) (11,12)
0 (0,5) (0,6)
1 (12,1) (11,1)
2 (0,12) (2,12)
2 null null
3 (12,14) (11,14)
0 (1,4) (0,5)
1 (11,1) (12,1)
2 (1,13) (1,14)
3 (15,12) (14,11)
0 (2,1) (3,1)
1 (14,0) (15,1)
2 (2,12) (3,12)
3 (14,10) (15,10)
0 (0,6) (1,5)
1 (12,1) (11,2)
2 (2,13) (3,14)
3 (11,13) (12,14)
0 (1,5) (2,6)
1 (14,1) (12,1)
1 (12,1) (14,1)
1 (14,1) (14,3)
1 (14,3) (12,1)
1 (12,1) (14,1)
1 null null
2 (6,12) (6,13)
3 (12,14) (12,13)
0 (0,1) (0,3)
0 (0,3) (0,1)
0 (0,1) (2,1)
0 null null
1 (13,3) (14,4)
2 (1,12) (2,11)
3 (11,12) (12,11)
0 (2,6) (3,6)
1 (11,0) (11,1)
2 (3,14) (2,13)
3 (14,11) (15,12)
0 (3,4) (4,3)
1 (13,2) (12,2)
2 (2,13) (4,11)
2 null null
3 (12,11) (11,11)
0 (2,1) (4,1)
0 null null
1 (15,3) (14,3)
2 (2,11) (1,12)
3 (14,12) (13,12)
0 (2,5) (1,4)
1 (14,3) (13,2)
2 (0,13) (1,13)
3 (13,15) (14,14)
0 (0,2) (0,3)
1 (13,1) (11,3)
1 (11,3) (13,1)
1 (13,1) (11,3)
1 null null
2 (6,13) (7,14)
3 (13,12) (13,13)
0 (0,0) (0,1)
1 (15,1) (15,3)
1 (15,3) (13,5)
1 (13,5) (15,3)
1 (15,3) (15,1)
1 (15,1) (13,3)
1 (13,3) (15,1)
1 null null
2 (4,14) (3,14)
3 (11,14) (13,12)
3 (13,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (4,1) (4,0)
1 (11,2) (12,1)
2 (3,12) (3,11)
3 (15,13) (14,12)
0 (3,6) (3,7)
1 (12,2) (12,3)
2 (3,11) (4,12)
3 (14,12) (14,11)
0 (0,4) (1,5)
1 (11,1) (12,2)
2 (3,14) (2,13)
3 (11,11) (10,12)
0 (3,1) (2,2)
1 (11,3) (11,4)
2 (7,14) (6,13)
3 (15,14) (14,13)
0 (4,0) (5,1)
