# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 709
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 17:11:32 PDT 2014
# Player 1: Player-0, 'random', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
2 (3,15) (4,14)
3 (12,13) (14,15)
3 null null
0 (3,6) (3,7)
1 (13,1) (14,1)
2 (1,10) (2,11)
3 (13,13) (14,14)
0 (1,4) (2,4)
1 (11,2) (12,3)
2 (4,14) (3,15)
3 (14,14) (14,12)
3 (14,12) (14,14)
3 (14,14) (12,14)
3 (12,14) (10,12)
3 (10,12) (12,10)
3 (12,10) (10,12)
3 (10,12) (12,12)
3 (12,12) (10,14)
3 (10,14) (12,12)
3 (12,12) (10,10)
3 null null
0 (3,2) (2,2)
1 (15,1) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,1)
1 (13,1) (15,1)
1 null null
2 (1,11) (3,11)
2 null null
3 (11,11) (12,12)
0 (0,6) (1,6)
1 (14,6) (13,5)
2 (2,13) (4,13)
2 null null
3 (11,13) (10,13)
0 (0,2) (1,3)
1 (13,2) (12,1)
2 (1,15) (2,14)
3 (14,11) (13,10)
0 (1,3) (0,3)
1 (15,1) (15,3)
1 (15,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,1)
1 null null
2 (2,11) (1,10)
3 (13,10) (12,10)
0 (3,7) (3,8)
1 (13,3) (15,1)
1 (15,1) (15,3)
1 (15,3) (15,5)
1 (15,5) (15,3)
1 (15,3) (15,5)
1 (15,5) (15,3)
1 (15,3) (15,5)
1 null null
2 (6,11) (7,11)
3 (12,12) (13,11)
0 (3,8) (4,8)
1 (14,0) (12,2)
1 (12,2) (12,0)
1 null null
2 (0,14) (1,15)
3 (11,12) (11,13)
0 (0,3) (1,3)
1 (13,1) (15,3)
1 (15,3) (13,1)
1 (13,1) (15,3)
1 null null
2 (4,13) (2,15)
2 (2,15) (2,13)
2 null null
3 (7,14) (7,13)
0 (2,2) (3,2)
1 (12,0) (11,0)
2 (1,14) (2,15)
3 (12,10) (13,10)
0 (4,2) (5,2)
1 (12,3) (12,4)
2 (1,10) (2,11)
3 (11,15) (10,14)
0 (3,2) (4,1)
1 (12,4) (11,3)
2 (2,15) (0,15)
2 (0,15) (2,15)
2 (2,15) (0,15)
2 null null
3 (13,11) (13,9)
3 (13,9) (13,11)
3 (13,11) (13,9)
3 null null
0 (2,0) (3,1)
1 (15,4) (15,6)
1 (15,6) (15,4)
1 (15,4) (15,6)
1 (15,6) (15,4)
1 null null
2 (2,10) (3,10)
3 (7,13) (6,14)
0 (4,3) (5,4)
1 (14,1) (13,1)
2 (2,14) (4,12)
2 (4,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (2,10)
2 (2,10) (4,12)
2 null null
3 (6,14) (7,14)
0 (5,4) (4,5)
1 (15,5) (15,6)
2 (4,12) (2,10)
2 (2,10) (2,12)
2 (2,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (2,14)
2 (2,14) (4,12)
2 null null
3 (7,14) (8,15)
0 (2,4) (3,5)
1 (15,6) (15,7)
2 (0,13) (0,14)
3 (13,10) (12,10)
0 (3,1) (3,2)
1 (15,2) (14,3)
2 (7,11) (6,11)
3 (10,13) (9,12)
0 (3,5) (5,5)
0 null null
1 (14,2) (15,2)
2 (2,11) (2,12)
3 (15,15) (14,14)
0 (3,2) (5,0)
0 null null
1 (12,1) (13,2)
2 (4,12) (2,14)
2 (2,14) (4,14)
2 null null
3 (12,10) (11,10)
0 (1,2) (2,2)
1 (11,3) (12,3)
2 (4,14) (5,14)
3 (14,14) (14,12)
3 null null
0 (4,1) (3,0)
1 (13,1) (12,1)
2 (3,10) (2,9)
3 (15,14) (13,12)
3 (13,12) (15,12)
3 null null
0 (3,0) (2,0)
1 (12,3) (10,5)
1 (10,5) (12,3)
1 null null
2 (3,11) (3,12)
3 (9,12) (9,13)
